title;kind;command
 Convert the 'with' statement to fully qualified statements.;quickfix;al/runCodeAction
 Convert all 'with' statements in the document to fully qualified statements;noKind;al/runCodeAction
 Convert all 'with' statements in the project to fully qualified statements;noKind;al/runCodeAction
 Convert all 'with' statements in the workspace to fully qualified statements;noKind;al/runCodeAction
Suppress diagnostic AA0074 fix this instance only;quickfix;al/runCodeAction
Suppress diagnostic AA0074 Suppress all diagnostics AA0074 in document.;noKind;al/runCodeAction
Suppress diagnostic AA0074 Suppress all diagnostics AA0074 in project.;noKind;al/runCodeAction
Suppress diagnostic AA0074 Suppress all diagnostics AA0074 in workspace.;noKind;al/runCodeAction
Suppress diagnostic AA0470 fix this instance only;quickfix;al/runCodeAction
Suppress diagnostic AA0470 Suppress all diagnostics AA0470 in document.;noKind;al/runCodeAction
Suppress diagnostic AA0470 Suppress all diagnostics AA0470 in project.;noKind;al/runCodeAction
Suppress diagnostic AA0470 Suppress all diagnostics AA0470 in workspace.;noKind;al/runCodeAction
Add parenthesis fix this instance only;quickfix;al/runCodeAction
Add parenthesis fix all 'AA0008' in document;noKind;al/runCodeAction
Add parenthesis fix all 'AA0008' in project;noKind;al/runCodeAction
Add parenthesis fix all 'AA0008' in workspace;noKind;al/runCodeAction
